time_until_sent_home,time_until_admitted
122,247
178,364
141,250
109,208
90,236
119,232
110,258
133,424
138,295
108,233
109,262
113,255
113,224
116,219
136,362
117,233
155,286
169,282
226,397
167,398
143,256
122,265
170,276
126,239
114,251
148,350
112,268
118,215
130,220
184,350
266,449
247,391
105,215
124,219
130,240
152,280
148,260
128,197
366,882
172,346
137,272
178,303
121,236
213,334
75,263
152,321
105,207
82,172
170,313
156,298
94,201
139,287
234,547
140,322
132,376
131,195
155,355
90,195
113,255
119,268
87,160
141,298
110,232
147,310
144,292
164,318
129,275
178,304
139,330
150,258
78,174
87,210
157,328
236,461
168,322
153,298
145,508
201,389
207,522
194,326
151,330
166,331
204,323
134,274
90,178
108,273
139,241
167,278
76,211
102,273
171,337
143,279
278,543
216,409
124,240
135,257
255,500
148,356
135,230
154,354
117,270
152,294
129,274
129,223
205,307
149,291
176,334
139,303
177,323
72,260
120,247
128,267
216,565
198,384
173,340
192,350
160,335
162,374
198,404
136,319
86,205
