time_until_sent_home,time_until_admitted
184,279
83,180
99,113
136,247
140,220
106,210
94,154
112,169
110,148
96,136
121,201
98,181
125,170
97,208
103,186
130,240
113,209
130,149
84,137
85,123
105,119
102,212
113,195
124,198
174,274
161,296
123,246
158,269
144,231
135,249
111,150
140,211
134,241
168,246
108,122
168,268
136,222
100,114
89,108
122,206
126,176
130,232
77,128
110,192
116,185
94,106
74,152
128,218
138,269
90,198
80,176
104,215
158,236
127,223
130,240
111,155
92,182
203,299
89,185
167,291
84,184
80,190
106,155
111,124
104,134
120,207
130,206
155,256
118,172
92,161
87,203
90,88
141,262
198,275
95,164
133,172
108,145
131,259
103,164
132,205
184,287
116,181
149,246
186,216
113,211
83,184
101,168
85,149
148,293
95,111
125,178
106,160
104,199
87,101
94,118
70,95
94,184
102,134
188,268
128,137
113,160
107,171
146,230
108,172
110,255
160,211
104,93
112,209
191,285
143,162
160,220
174,322
115,144
111,160
